Id,Predicted
8957,0.186354
4246,0.042120
9089,0.126751
10606,0.167423
9863,0.061506
11627,0.061011
2338,0.937468
13378,0.936446
1643,0.128828
6957,0.067387
11597,0.854439
1914,0.956192
15712,0.256471
8477,0.060539
1976,0.968127
15431,0.757293
2870,0.094393
10605,0.245561
15707,0.955198
4774,0.966659
1176,0.074749
5671,0.968557
15067,0.368239
2353,0.072814
6964,0.971016
17323,0.973520
2497,0.410978
997,0.049590
3462,0.049309
5511,0.288497
5316,0.037664
8654,0.098182
4697,0.962604
17197,0.049609
9352,0.946886
5084,0.965659
3009,0.142384
11330,0.101005
7167,0.964853
11227,0.975703
2589,0.081551
12051,0.049772
2037,0.960665
10865,0.075434
9832,0.957676
785,0.078793
9962,0.969517
9994,0.049742
10529,0.945700
11388,0.036644
651,0.040028
11941,0.978618
2752,0.041821
14088,0.968033
2287,0.945099
4836,0.962707
12144,0.122196
935,0.063762
12504,0.058622
13702,0.059570
15483,0.049772
15635,0.910382
11030,0.060158
9127,0.931561
2530,0.080161
16463,0.036644
17576,0.970574
10158,0.936687
5966,0.045653
11705,0.071874
125,0.908342
13028,0.078031
16817,0.054145
11014,0.069495
11402,0.103104
14179,0.969415
4312,0.925264
2101,0.127850
10996,0.139477
10926,0.963049
446,0.064956
14656,0.968522
980,0.077661
10894,0.963820
8789,0.204952
4621,0.039750
4497,0.193425
12210,0.960999
10872,0.973731
6041,0.974188
11583,0.051795
11794,0.229409
6542,0.957032
9221,0.049590
16343,0.068834
3766,0.044228
5,0.062386
3610,0.039376
10572,0.959309
16263,0.062018
4931,0.157260
243,0.045825
11158,0.974068
10933,0.124403
17647,0.961490
12786,0.967582
9934,0.058973
17018,0.049776
16239,0.976700
15882,0.033828
12529,0.972515
17225,0.078809
17644,0.112698
3398,0.047246
4906,0.040984
10838,0.090806
6670,0.085043
4395,0.969505
14724,0.062981
15098,0.966983
10745,0.974269
4959,0.977637
2876,0.888121
16765,0.951737
11629,0.034870
16255,0.973018
17532,0.970414
13631,0.179013
13134,0.055073
4932,0.058114
1305,0.931810
9508,0.043285
13402,0.166976
13256,0.960178
17096,0.057699
15070,0.980337
6097,0.962836
16076,0.064714
5192,0.071374
9509,0.915060
15682,0.969974
11301,0.975341
6045,0.080871
10657,0.046853
12398,0.073460
4692,0.965503
11428,0.145339
2389,0.077415
9683,0.971399
8796,0.969777
6902,0.967310
6295,0.253414
15149,0.975650
16022,0.045796
14400,0.969505
443,0.092983
17809,0.981457
8531,0.112299
10251,0.974706
6886,0.058935
8052,0.044111
10747,0.759585
4499,0.963220
12538,0.060596
16625,0.057504
4765,0.968598
2792,0.072028
1317,0.104049
4043,0.065016
9831,0.979851
13758,0.216701
15400,0.142314
11631,0.200674
9654,0.964425
850,0.120820
11108,0.105375
11662,0.222076
12709,0.062695
15503,0.142131
14607,0.049398
4958,0.946533
1177,0.062613
4833,0.947399
4584,0.079989
35,0.970678
3035,0.100534
13616,0.075439
7085,0.128982
16981,0.223978
7293,0.063305
8628,0.090901
11990,0.078809
9209,0.971345
3245,0.970358
5572,0.065962
13762,0.092758
12322,0.966955
4108,0.964246
14105,0.077261
1709,0.983219
12426,0.040254
7577,0.044339
6122,0.968881
17521,0.924685
13472,0.972129
9059,0.050275
1830,0.953912
682,0.969351
3601,0.079569
11655,0.046742
14041,0.977671
5324,0.069132
2155,0.046239
13203,0.102334
3274,0.043409
7713,0.976685
1828,0.099881
908,0.095410
7418,0.731904
17800,0.975919
1832,0.960912
14826,0.965917
16241,0.170123
12326,0.956854
6204,0.961182
3897,0.983700
29,0.038305
8119,0.046263
17451,0.080577
666,0.040850
9064,0.962119
15052,0.970894
16824,0.970455
13818,0.075936
16050,0.965701
8701,0.341207
12781,0.965693
2041,0.082045
14147,0.976055
12785,0.053699
4644,0.114235
2433,0.961516
1087,0.142202
10813,0.084236
9931,0.935718
6125,0.049206
10196,0.064600
14738,0.043477
1731,0.968587
3327,0.114235
10580,0.063421
1602,0.093346
1704,0.040912
6452,0.104036
9652,0.979707
8353,0.973611
6981,0.068881
5825,0.155513
5097,0.071657
4450,0.059625
5892,0.950090
14870,0.047152
9503,0.887567
635,0.075280
1583,0.971088
377,0.205584
11460,0.071892
6499,0.058060
4620,0.082065
3846,0.974866
10602,0.312096
17531,0.116966
14039,0.085805
13650,0.098254
10045,0.059625
17186,0.958015
3747,0.089914
16168,0.090806
7434,0.065078
75,0.954466
17342,0.936334
1810,0.124578
14866,0.974047
3110,0.036387
7592,0.056910
6261,0.052918
13608,0.051556
10463,0.104345
9505,0.980636
8996,0.981046
8272,0.042829
14956,0.059620
9615,0.090185
10754,0.048168
10915,0.074419
974,0.121282
14435,0.049590
10230,0.964940
9968,0.969318
9866,0.074671
6995,0.038889
8381,0.080871
9476,0.045321
10128,0.038267
16327,0.128666
614,0.953560
11962,0.086845
2276,0.041715
4889,0.059620
8866,0.960999
11324,0.971500
10092,0.042869
903,0.984988
2614,0.968940
4297,0.971041
457,0.938953
1129,0.929480
11983,0.049331
16186,0.040682
9186,0.046146
8902,0.067612
7787,0.067524
1098,0.966091
9862,0.938446
4612,0.054061
11782,0.160678
7687,0.040526
7746,0.967023
5660,0.756587
6560,0.763178
4953,0.965035
10120,0.049461
13918,0.198099
9297,0.056333
11526,0.038246
11688,0.963658
604,0.036397
13907,0.082775
15392,0.968957
13811,0.945375
13171,0.970660
1215,0.056180
15111,0.978746
9701,0.051127
10854,0.930609
135,0.966656
10733,0.141563
6809,0.968409
15813,0.946569
2396,0.212848
12299,0.078423
17309,0.046302
6590,0.104169
1998,0.039140
2367,0.157772
14736,0.962566
640,0.954196
2605,0.979645
6102,0.124084
2706,0.060714
15045,0.159448
8596,0.971749
4682,0.963497
1110,0.955800
11419,0.062001
12520,0.053584
14138,0.041733
10994,0.047103
3922,0.157312
4322,0.065915
978,0.063582
9864,0.956432
1917,0.100548
9556,0.976591
688,0.047422
1774,0.060658
820,0.040853
12474,0.038889
9634,0.123045
17709,0.073796
14063,0.954426
187,0.970569
17150,0.049772
9172,0.065141
11411,0.065829
11717,0.973921
53,0.977752
6020,0.063415
11235,0.071690
3731,0.970299
9890,0.970574
12684,0.155205
10146,0.161419
14615,0.061889
12689,0.952295
14574,0.905886
16442,0.058065
2288,0.976977
11775,0.042968
1487,0.152743
1579,0.236694
5608,0.043876
4555,0.067708
12747,0.066037
3370,0.084099
1593,0.052783
10346,0.051079
14988,0.038890
6412,0.355582
7118,0.060667
1166,0.311585
5612,0.055991
10711,0.093893
10107,0.975443
11787,0.038112
8343,0.043677
12936,0.049719
13085,0.152483
14478,0.060463
8491,0.954258
7043,0.064956
11864,0.122015
14986,0.967057
9649,0.054717
14272,0.063568
1150,0.089745
1969,0.964685
15119,0.969992
6816,0.059620
13438,0.173431
6661,0.052167
4956,0.937372
6329,0.064475
14405,0.044094
4650,0.037354
13132,0.060653
16636,0.966753
4443,0.973634
2496,0.182851
3989,0.133798
12996,0.973366
12636,0.040029
17812,0.045647
11661,0.073870
11126,0.043547
16359,0.071608
16157,0.034870
7254,0.043974
5586,0.075015
16967,0.045375
12515,0.054349
4766,0.972457
16011,0.043448
2962,0.072983
13497,0.962488
6065,0.078258
8817,0.966620
7985,0.073269
5014,0.971108
15355,0.974566
7146,0.034870
4074,0.048310
12762,0.970350
9520,0.960587
16854,0.934456
5379,0.099383
9911,0.062365
14990,0.078851
15183,0.972633
10234,0.055551
13740,0.055503
6257,0.073264
5268,0.957370
10963,0.087240
11270,0.969103
16182,0.964443
5305,0.934738
15358,0.971580
15383,0.362021
11934,0.957227
11149,0.973089
9679,0.183872
6365,0.068718
9351,0.040695
12107,0.141528
5720,0.047119
8210,0.978410
12807,0.970990
15077,0.606090
9335,0.059962
7876,0.049065
10345,0.045744
3390,0.097266
12190,0.038576
12497,0.079183
1842,0.107180
3801,0.046263
15528,0.067387
10398,0.964351
13397,0.084305
7970,0.080871
12064,0.036253
12870,0.099824
1894,0.063131
10971,0.054490
8355,0.949001
10044,0.069990
4125,0.061241
1672,0.141957
9384,0.054063
2908,0.961598
8557,0.874372
4493,0.975350
17530,0.081308
10336,0.980790
3856,0.955374
10466,0.975442
10132,0.049681
2645,0.977664
4100,0.973934
1026,0.969943
4767,0.067524
16598,0.961865
575,0.937899
846,0.603013
17489,0.049593
4888,0.958871
6979,0.040963
1012,0.163401
16503,0.046635
17379,0.075167
9482,0.071369
4951,0.054899
2843,0.922719
511,0.058065
14672,0.068718
3704,0.154612
10621,0.100244
17263,0.086271
8378,0.038067
6377,0.337560
12759,0.977382
12475,0.055991
7020,0.984976
15144,0.971260
12746,0.097585
11354,0.054983
17570,0.069556
8748,0.139151
6663,0.154810
2224,0.055673
13422,0.965484
9106,0.976138
9784,0.953749
700,0.222361
7789,0.040636
15448,0.408940
16441,0.079306
12162,0.983652
10031,0.063051
7819,0.049742
9619,0.973563
16486,0.051233
17316,0.065848
13162,0.971131
5464,0.064627
7758,0.913749
10710,0.079594
4574,0.968761
5785,0.096288
7886,0.973795
10256,0.040222
85,0.891415
3314,0.040028
7509,0.074005
12132,0.103077
2536,0.068803
11549,0.980287
11159,0.964045
1196,0.054998
4324,0.049590
3224,0.981570
1148,0.054828
12533,0.077469
14647,0.038798
17049,0.035842
6948,0.046539
2971,0.050532
5075,0.066037
13399,0.036644
12496,0.969307
1268,0.970262
9944,0.962285
16490,0.079349
15762,0.188672
3391,0.109728
8763,0.978922
1186,0.049803
11700,0.944885
10790,0.068484
13476,0.061167
1339,0.040028
2514,0.040041
6476,0.063457
924,0.058501
11877,0.042968
13895,0.054042
5990,0.080871
1338,0.056371
9375,0.971297
5776,0.072510
13677,0.963070
10938,0.040557
7648,0.090485
10082,0.070164
4470,0.055072
1563,0.129925
8051,0.040254
9414,0.045170
5520,0.183781
276,0.050135
12308,0.104133
6764,0.074421
17857,0.044965
12615,0.963044
12666,0.882500
12454,0.063374
14932,0.938592
11271,0.553178
3968,0.049590
8181,0.072441
3850,0.046308
609,0.939614
10662,0.949746
15083,0.972933
16815,0.048672
16910,0.079502
5081,0.103404
2794,0.784630
12598,0.979282
10383,0.067387
8191,0.985575
11605,0.976680
4535,0.083178
2574,0.973534
8897,0.969926
10061,0.046911
10479,0.952488
17289,0.042968
16617,0.052783
2360,0.042375
12021,0.412531
5418,0.059425
13035,0.897476
3256,0.980763
10923,0.043948
6659,0.970227
17565,0.948696
3183,0.971498
11468,0.045103
11969,0.064574
7454,0.082857
1954,0.964300
17251,0.076464
12682,0.108323
1230,0.073157
7780,0.073179
